right x, right y, right size, left x, left y, left size
3.184570,8.625732,34.882812,7.880859,7.687744,35.898438
3.187012,8.628174,34.878906,7.878662,7.687500,35.906250
3.190674,8.625977,34.871094,7.877930,7.687988,35.906250
3.187500,8.628174,34.878906,7.875732,7.686279,35.898438
3.184570,8.627441,34.871094,7.873535,7.684814,35.910156
3.188965,8.628418,34.875000,7.871826,7.685791,35.906250
3.189941,8.630371,34.863281,7.872070,7.686279,35.902344
3.187988,8.629883,34.867188,7.868896,7.684570,35.890625
3.189941,8.633057,34.859375,7.868652,7.684082,35.886719
3.189941,8.633789,34.859375,7.866699,7.683594,35.890625
3.187744,8.634033,34.871094,7.870117,7.684082,35.871094
3.189209,8.636475,34.867188,7.875000,7.684082,35.859375
3.194092,8.638184,34.867188,7.875488,7.684326,35.863281
3.196289,8.633545,34.863281,7.873047,7.685303,35.871094
3.196533,8.633789,34.859375,7.868896,7.685059,35.871094
3.190430,8.635010,34.863281,7.870850,7.683838,35.859375
3.187988,8.632812,34.863281,7.875977,7.683105,35.851562
3.192871,8.636475,34.863281,7.873291,7.683350,35.847656
3.191895,8.637695,34.867188,7.874268,7.682617,35.839844
3.194336,8.642090,34.863281,7.868408,7.683350,35.843750
3.189453,8.639648,34.859375,7.874512,7.683838,35.847656
3.190918,8.642334,34.867188,7.874023,7.687012,35.859375
3.191650,8.647705,34.875000,7.874756,7.686523,35.871094
3.184326,8.646973,34.882812,7.870850,7.688965,35.878906
3.189941,8.647949,34.875000,7.869873,7.686279,35.886719
3.192871,8.656494,34.863281,7.873535,7.687012,35.871094
3.192627,8.658936,34.863281,7.874756,7.687744,35.871094
3.188232,8.660889,34.863281,7.875488,7.689209,35.878906
3.185791,8.660889,34.863281,7.875244,7.690430,35.882812
3.187012,8.663330,34.863281,7.869141,7.689697,35.875000
3.190430,8.665771,34.851562,7.869141,7.691406,35.890625
3.186768,8.664062,34.855469,7.865479,7.690674,35.878906
3.187744,8.662842,34.843750,7.869385,7.696045,35.878906
3.189453,8.665283,34.847656,7.870850,7.696289,35.882812
3.186279,8.664795,34.839844,7.864746,7.699951,35.878906
3.185791,8.665283,34.855469,7.869629,7.700195,35.878906
3.178711,8.670654,34.851562,7.868896,7.700684,35.882812
3.179932,8.673340,34.843750,7.866211,7.701172,35.886719
3.181641,8.672363,34.828125,7.867432,7.702637,35.882812
3.180176,8.674072,34.832031,7.868408,7.703613,35.894531
3.178467,8.674805,34.832031,7.868896,7.706543,35.902344
3.173340,8.678223,34.828125,7.865723,7.708008,35.906250
3.171143,8.670166,34.832031,7.863770,7.706299,35.906250
3.172607,8.674561,34.820312,7.863525,7.704834,35.906250
3.177490,8.679199,34.804688,7.860107,7.710205,35.917969
3.180908,8.678955,34.796875,7.858887,7.710449,35.925781
3.182617,8.681641,34.804688,7.856934,7.711914,35.933594
3.181152,8.682373,34.812500,7.854492,7.710693,35.937500
3.178223,8.682373,34.804688,7.850342,7.712158,35.929688
3.174805,8.680664,34.808594,7.856445,7.712891,35.914062
3.178467,8.682861,34.808594,7.850830,7.711914,35.914062
3.176514,8.686279,34.800781,7.851074,7.715332,35.910156
3.173828,8.686523,34.800781,7.852295,7.714844,35.914062
3.172852,8.686768,34.796875,7.847656,7.712402,35.910156
3.174072,8.686523,34.800781,7.844482,7.713379,35.914062
3.171387,8.688965,34.800781,7.845215,7.714355,35.910156
3.167236,8.690430,34.796875,7.844971,7.715332,35.917969
3.161621,8.693115,34.808594,7.842773,7.715332,35.906250
3.160889,8.692383,34.800781,7.847900,7.713623,35.906250
3.161621,8.688721,34.808594,7.850342,7.715576,35.898438
3.154541,8.690430,34.820312,7.852783,7.711914,35.886719
3.154297,8.691406,34.816406,7.850098,7.715332,35.886719
3.158447,8.691162,34.812500,7.852051,7.711182,35.890625
3.159180,8.696289,34.796875,7.854980,7.710449,35.898438
3.160400,8.697021,34.785156,7.856934,7.711914,35.902344
3.162354,8.698242,34.792969,7.859375,7.710205,35.890625
3.158691,8.690918,34.792969,7.857666,7.709961,35.898438
3.161621,8.693848,34.789062,7.857666,7.710693,35.906250
3.160889,8.693848,34.789062,7.858643,7.709473,35.890625
3.160889,8.690674,34.789062,7.852295,7.708252,35.882812
3.163574,8.687744,34.789062,7.856201,7.705566,35.863281
3.165527,8.685059,34.785156,7.853516,7.703369,35.871094
3.165527,8.680664,34.789062,7.855713,7.700928,35.867188
